ID	Drinking Category	Species	Sex	Age	Cortisol	ACTH	Testosterone	Deoxycorticosterone	Aldosterone	DHEAS	Osteocalcin	CTX	FGF_basic	IL_1b	G_CSF	IL_10	IL_6	IL_12	RANTES	Eotaxin	IL_17	MIP_1a	GM_CSF	MIP_1b	MCP_1	IL_15	EGF	IL_5	HGF	VEGF	IFN_y	MDC	I_TAC	MIFAnalyte_46	IL_1RA	TNF_a	IL_2	IP_10	MIG	IL_4	IL_8	IL_23	VEGF_D	MIF
10058	LD	Rhesus	M	7.176054265	19.695	49.5	2.72	325.5	84.31	0.0415	26.34	2.05	6.061768032	9.109038286	26.65403582	2.086437176	2.942275554	151.191128	2951.16265	194.250761	6.222760577	17.0648063	3.060335777	109.4945589	187.5376616	18.84920434	2.781839521	0.223375429	46.53737704	1.017203165	17.09782087	450.580111	36.05670697	57.45256099	2103.169146	8.505504507	1265.226092	2.931450182	39.01885525	2.759825509	5.033430668	1265.226092	1.017203165	
10059	BD	Rhesus	M	7.176054265	29.41	48.5	13.16333333	459	393.235	0.2885	17.28	1.56	6.953234283	10.67541739	35.39489192	2.517685813	2.452208729	300.9017935	5203.524534	260.2060761	10.16095812	20.36415331	3.653105528	87.48619473	231.1314372	22.90798679	1.618237705	0.223375429	53.77676998	1.304781607	17.7075656	441.7149481	48.71136966	132.0818665	2491.430912	11.78598773	1378.909581	5.263983852	40.2169801	2.973392444	6.134301249	1378.909581	1.304781607	
10060	BD	Rhesus	M	5.705798203			23				25.03	1.76	6.088537226	6.730156379	24.50993779	2.028578514	1.736791803	512.6340999	2068.683149	226.6835223	6.132034917	14.80654012	0.758985725	55.74924325	233.0915325	8.781771392	3.571983187	0.299239521	37.60128727	0.820872436	11.88656382	332.0112977	41.42380783	124.2865955	2214.32311	19.5720158	118.2392863	2.623918764	65.62105173	3.254169322	0.866200371	118.2392863	0.820872436	
10061	VHD	Rhesus	M	5.850907274			11.78				15.58	1.43	0.18	1.100729295	90.85911972	1.477914445	1.587886041	323.3741412	799.3116947	176.898592	9.248999543	21.71620316	0.788479377	27.24037805	235.5360311	12.7404979	0.29	0.473857318	26.49056417	0.096852068	12.82550921	1620.056911	62.3237987	846.6237421	582.807888	13.62035716	153.9252663	3.59635915	324.2134981	3.277768607	0.29	153.9252663	0.096852068	
10062	VHD	Rhesus	M	5.935782391			6.9				18.05	1																																
10063	VHD	Rhesus	M	5.689370761			9.43				17.86	1.78																																
10064	HD	Rhesus	M	5.651040062			2.98				23.77	1.84																																
10065	HD	Rhesus	M	5.935782391			11.06				31.88	2.18	6.399408559	2.054175196	57.93060783	1.586964923	3.356096439	297.5326113	1977.567696	88.80204222	7.154538452	17.76583605	1.472540764	102.0197174	234.4304504	37.03583303	3.671416281	0.554037361	89.34889555	0.085876067	48.78122311	976.4138848	39.79630482	200.8074333	438.7281657	18.3216146	227.1316841	3.700519823	229.0451874	4.229423232	0.29	227.1316841	0.085876067	
10066	VHD	Rhesus	M	5.774245878			8.69				20.36	2.25	4.069702548	0.905837843	56.94718229	1.359676873	2.585343429	244.8916709	979.590668	82.23835513	4.091971668	13.52280083	0.681587756	25.26125672	105.6398052	5.189651343	0.390220715	0.380787478	25.49726395	0.103845172	12.18220862	817.3873859	26.73886772	180.1745238	323.5986037	12.87771277	134.6114405	3.446146396	238.1576382	2.129736045	0.29	134.6114405	0.103845172	
10067	HD	Rhesus	M	5.812576576			4.19				12.58	1.03	2.093655042	1.580470915	69.00115614	1.59938993	2.297695725	421.0000956	1312.543478	295.32294	8.930974609	13.40447598	0.68131501	21.13117373	431.6320317	0.808922277	0.29	0.593173362	44.70165549	0.151782146	15.91958159	1060.331337	159.8939755	173.4111118	483.8408273	13.89586407	106.5357644	6.45063823	184.1365368	4.799261044	10.63494527	106.5357644	0.151782146	
10069	VHD	Rhesus	F	4.136977488							15.25	1.55	2.413259397	0.809565802	29.74827271	1.297083737	1.26320826	212.4028719	2100.847295	34.07715563	8.437862935	18.14186326	1.418795364	38.19332862	176.4134258	11.4965142	0.29	0.330845438	42.15071778	0.059	24.64504426	900.7676329	93.58305873	92.3814808	436.5170668	31.59647351	204.3101681	2.293393845	303.5337531	3.91359333	0.29	204.3101681	0.059	
10070	VHD	Rhesus	F	4.117812139							13.33	2	2.82430757	0.755120695	36.29684119	1.424203303	1.488930433	211.3385955	3246.777853	183.4103984	7.307804569	18.55042602	1.438659639	62.48477562	221.174816	21.55242196	1.240426511	0.498502915	57.27593607	0.059	37.67460429	623.3234106	103.7548049	81.74835884	495.0606583	54.0338719	497.8096768	1.58870572	307.3644822	2.984589327	0.29	497.8096768	0.059	
10072	LD	Rhesus	F	5.834479832							20	1.43	0.55	3.732160414	54.22963975	1.607939878	0.51414262	968.619265	1455.475377	91.45345174	4.595821612	13.73001104	0.478075511	19.14466224	96.88486672	5.838107074	2.6	0.311494851	41.86751491	0.378840009	8.796966867	1182.839906	25.20371884	25.1716205	1895.472706	16.84812946	97.40472493	2.292831818	19.79733581	2.408286635	0.395192385	97.40472493	0.378840009	
