ID	DrinkingCategory	Species	Sex	Age	Cortisol	ACTH	Deoxycorticosterone	DHEAS	Osteocalcin	CTX	FGF_basic	IL_1b	G_CSF	IL_10	IL_6	IL_12	RANTES	Eotaxin	IL_17	MIP_1a	GM_CSF	MIP_1b	MCP_1	IL_15	EGF	IL_5	HGF	VEGF	IFN_y	MDC	I_TAC	MIFAnalyte_46	IL_1RA	TNF_a	IL_2	IP_10	MIG	IL_4	IL_8	IL_23	VEGF_D	MIF
10065	HD	Rhesus	M	5.935782391	20.29	123.2	0.515	0.081	7.99	0.629	7.590359386	2.455204578	4.569552655	0.589168837	4.187920856	139.6107273	607.6198425	76.02241124	2.973356738	11.51103941	5.425995312	262.2158193	151.9496788	70.32645536	7.541518897	0.146630658	169.8452337	0.059	100.5388936	776.5857463	43.9955791	29.23955597	385.8729903	11.46516171	653.0767918	2.558335353	122.9082064	5.178767931	0.29	653.0767918	0.059	
10069	VHD	Rhesus	F	4.136977488	22.97	19.69	0.596	0.196	18.74	0.921																																
10070	VHD	Rhesus	F	4.117812139	24.21	18.04	0.704	0.416	18.69	1.25																																
10078	VHD	Rhesus	F	3.835807717	16.24	15.95	0.573	0.108	16.84	0.683																																
10079	VHD	Rhesus	F	4.156142837	12.05	109	0.394	0.049	32.21	0.883																																
10080	VHD	Rhesus	F	4.156142837	20.48	146.7	0.806	0.183	18.8	0.814																																
10081	VHD	Rhesus	F	4.156142837	21.48	234.5	0.754	0.105	31.63	0.859	3.718004035	4.77107582	24.50993779	1.753313424	1.858752132	215.4897491	2372.256637	128.7947189	4.766413265	12.8437867	1.072511519	26.43810542	177.3735668	12.45682874	0.88	0.203845584	37.60128727	0.740836001	13.3693224	821.6390229	42.04189082	85.30759684	1976.018389	17.21909414	358.2563709	1.97436834	52.79631092	3.819972527	1.868257061	358.2563709	0.740836001	
10087	BD	Rhesus	M	4.356010048	22.84	40.25	0.296	0.248	13.45	0.577																																
10088	HD	Rhesus	M	4.487429584	22.45	22.6	0.146	0.338	39.6	1.88	4.287214023	4.026564609	10.98593874	0.809871992	0.352478199	210.188493	288.4043399	124.0067852	4.679560375	11.13567716	0.078481162	68.78265024	107.6106584	4.34186888	7.265288236	0.015324898	30.74505402	0.183038999	12.29463991	241.8134193	26.41652253	10.30030827	588.0044613	3.834340393	17	1.777709374	21.15695448	2.7	0.29	17	0.183038999	
10090	LD	Rhesus	M	4.254707489	9.93	23.91	0.149	0.089	31.1	1.33	0.883694353	2.310573292	17.43627888	0.68077268	1.305856419	132.1287303	362.6155566	94.86391238	2.316960546	8.005325989	0.227293116	11.2916693	196.8663874	3.561628699	0.88	0.056415724	24.88340667	0.284597739	4.524363248	434.746843	39.16119022	17.34823042	986.8074313	5.946861061	17	1.521459769	29.43907384	1.384944987	0.29	17	0.284597739	
10091	VHD	Rhesus	M	4.34505842	19.9	41.9	0.582	0.225	26.76	1.11	1.988169969	4.249787454	15.49294703	0.982193873	0.764437476	88.00717721	2702.183471	82.19948986	5.426378043	12.42898008	0.210334315	47.49419291	79.58346186	4.118708736	0.88	0.097506551	38.06685572	0.323779096	8.552856376	305.2766559	68.33789649	24.36720097	2461.944473	15.2235977	33.00618065	1.777709374	33.21386798	1.001704441	0.29	33.00618065	0.323779096	
10092	LD	Rhesus	M	4.295776094	19.02	45.8	0.153	0.2	31.28	1.17	3.661774622	6.277672914	10.7598152	1.47989499	2.467898207	83.20149299	1967.631418	174.3345007	9.121200557	12.31099211	0.607826845	24.14107179	375.9898291	4.837363931	0.88	0.184875531	42.14684336	0.814633877	8.192101012	434.6239327	80.07509619	92.34857354	2022.885783	18.37844563	94.16495631	2.042280575	26.12797218	2.132595959	2.594208169	94.16495631	0.814633877	
10097	HD	Rhesus	M	4.334106792	14.01	10	0.113	0.066	41.98	1.37	0.338826066	3.35602364	19.99995532	1.154515754	0.764437476	155.8943401	350.1653532	136.5997697	2.333894883	9.122466287	0.210334315	11.62214539	140.806164	4.566145706	0.88	0.097506551	22.80522112	0.384342414	5.450776937	875.3842105	43.11405926	16.46977407	736.515301	5.946861061	17	1.589233556	25.6642797	2.7	0.29	17	0.384342414	
10102	LD	Cyno	F	10.42047407	17.26	144.4	1.412	0.065	36.51	1.38																																
10104	BD	Cyno	F	10.16311081	10.39	12.94	0.169	0.003	12.05	0.436																																
10199	LD	Cyno	M	5.829004018	12.92	38.01	0.163	0.045	16.3	0.938																																
10201	HD	Cyno	M	5.9001896	18.9	42.52	0.274	0.104	13.82	1.05																																
10202	LD	Cyno	M	6.620259143	19.41	38.45	0.227	0.012	14.78	0.902																																
10203	LD	Cyno	M	5.63461262	21.52	25.71	0.13	0.024	10.2	1.08																																
10206	LD	Cyno	M	6.143863324	21.16	24.82	0.19	0.172	6.25	0.575																																
10207	HD	Cyno	M	5.801624948	22.72	56.69	0.2	0.064	13.93	0.907																																
10208	BD	Rhesus	M	5.875548437	27.36	81.88	0.47	0.381	5.76	0.757							3912.849918	145.0680138							2.311474801		81.61930373	0		890.7575375		113.041131					23.63492321				0	113.041131
10209	HD	Rhesus	M	5.837217739	13.84	29.74	0.104	0.059	7.36	0.908							3859.624062	470.3016617							9.322946752		132.9909101	0		946.0393641		72.74493264					36.9417419				0	72.74493264
