ID	DrinkingCategory	Species	Sex	Age	Cortisol	ACTH	Testosterone	Deoxycorticosterone	Aldosterone	DHEAS	Osteocalcin	CTX	FGF_basic	IL_1b	G_CSF	IL_10	IL_6	IL_12	RANTES	Eotaxin	IL_17	MIP_1a	GM_CSF	MIP_1b	MCP_1	IL_15	EGF	IL_5	HGF	VEGF	IFN_y	MDC	I_TAC	MIFAnalyte_46	IL_1RA	TNF_a	IL_2	IP_10	MIG	IL_4	IL_8	IL_23	VEGF_D	MIF
10070	VHD	Rhesus	F	4.117812139							13.23666667	1.203333333	0.18	0.307750553	11.24375224	0.982900069	0.824044248	139.6866329	267.0707707	84.05479106	4.414260885	9.251038996	1.278722652	12.63580009	178.6628133	2.653526169	0.29	0.517032499	39.23940872	0.059	16.16422835	599.854709	69.86295797	47.66882114	287.6288136	23.03560463	204.3101681	1.492830861	184.8641918	4.862588403	0.29	204.3101681	0.059	
10072	LD	Rhesus	F	5.834479832							19.53	1.314666667	0.55	4.355279843	58.41862302	1.494487912	0.781903962	841.6669369	1995.65963	100.7214018	4.601235861	14.60790939	0.578106477	21.03274479	89.63564365	3.063781958	2.6	0.134562863	50.00331155	0.445677898	10.25975063	764.0421199	25.65258112	32.36295414	2022.352586	16.84812946	252.3356579	1.935677214	33.20779253	2.009772901	0.2	252.3356579	0.445677898	
10073	VHD	Rhesus	F	5.629136806							7.54	0.935																																
10074	LD	Rhesus	F	5.585330294							30.53	1.087	0.55	8.942961273	39.8682262	3.426452322	2.180160929	316.1899172	1102.435628	171.2275708	8.375373448	15.0189754	0.786771459	21.03274479	176.342798	6.13310358	2.6	0.210196023	50.07271237	0.493658215	20.30766295	1778.38694	32.4528729	20.4009352	1814.715446	18.93261011	80.38862094	6.935297918	45.98425644	1.611259166	0.2	80.38862094	0.493658215	
10075	HD	Rhesus	F	5.834479832							14.43666667	1.065	1.337943936	3.694236145	31.82554349	1.494664371	1.398954043	272.7811137	1705.445078	121.0060515	7.288170387	15.66129986	0.654893248	27.99907985	172.7339998	11.03003444	2.6	0.109395877	43.47965875	0.205974952	11.34151933	744.4220892	40.22781791	49.564644	1706.172941	17.62462293	85.63957495	2.782636939	34.40215348	1.611259166	1.038824883	85.63957495	0.205974952	
10077	LD	Rhesus	F	6.042560764							28.72	2.146666667	0.55	2.153242067	10.8133608	1.041209423	0.60381734	98.03228973	111.3047768	67.25466004	35.16446918	4.288511307	0.378044545	4.5	36.18583642	2.468847797	2.6	0.059061903	19.65742218	0.059	5.893797997	491.3840578	196.5676252	20.4009352	254.6241246	5.585728175	17	1.819818415	17.18897857	0.814231697	0.2	17	0.059	
10078	VHD	Rhesus	F	3.835807717							17.22666667	1.31	0.18	0.279798349	16	0.982594083	0.483490988	249.3550751	486.8826742	69.48982413	5.763892574	9.539343897	1.278764087	25.1652337	163.3550888	1.8	0.29	0.216399958	61.17936742	0.059	18.85528675	452.055598	56.25273597	37.55047762	325.9535675	23.67682767	77.84194148	2.320122861	155.6900135	5.038938898	0.29	77.84194148	0.059	
10079	VHD	Rhesus	F	4.156142837							25.08	1.6	0.18	0.220253089	16	1.094789166	0.878175678	183.7748261	391.6478981	84.6620488	6.351362289	17.83085796	1.263349039	61.55710144	209.4192718	1.8	0.29	0.265215975	31.5544218	0.059	18.71739418	789.9095864	68.41967092	48.72684807	295.4811691	26.92165889	72.20385928	2.498822142	190.1693156	4.689492123	0.29	72.20385928	0.059	
10080	VHD	Rhesus	F	4.156142837							17.11333333	1.047	0.18	0.413280549	16	1.08158363	0.932549369	215.7365232	499.7597512	96.08582935	5.584881182	11.73930434	1.301938539	16.14373876	263.261842	1.8	0.29	0.253901082	42.07576584	0.059	16.96627916	553.0375214	71.29533547	51.64293937	375.3414151	34.64037953	156.125888	2.369128777	210.3108432	4.861378145	0.29	156.125888	0.059	
10081	VHD	Rhesus	F	4.156142837							27.04666667	1.082666667																																
